Indnum,Household heating < 70F,Household heating => 70F,Small kitchen appliance in the home,TV/computer use,Use of air conditioner,Use of heat pump,air travel - large plane,air travel - small  plane (<50 seats),bags of compost deposited (negative CF),bags of garbage disposed,bags of recycling deposited (negative CF),bath,car trips - 2+ people with multiple end points,car trips - driver and self,car trips- self only,hazardous or electric items disposed,large items disposed,shower - long (> 3 min),shower - short,trips using public ground transportation,use of  oven,use of clothes dryer,use of clothes washer,use of cooking range,use of dishwasher,use of self-clean feature of electric oven,wash-up
1,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,4.2e-05
2,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,4e-06
3,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,1.7e-05,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,2.3e-05
4,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,4.2e-05
5,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,6.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
6,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000127,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
7,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,0.000199,0.0001385,0.000311,0.0001885,2.3e-05
8,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
9,0.0008975000000000001,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
10,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,8.8e-05,0.000354,0.000554,0.000551,0.0211,0.0211,0.000312,0.000102,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
11,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.000312,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
12,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.000368,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.000232,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
13,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
14,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,1.2e-05,0.000276,0.00015,0.000122,9.75e-05,0.000135,0.000311,0.0001885,6.1000000000000005e-05
15,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.000102,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,5.5e-05
16,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.000149,0.000232,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
17,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000162,0.000127,0.000382,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
18,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
19,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
20,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.000354,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,0.000165,0.0001885,4.2e-05
21,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
22,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
23,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.000354,0.000102,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
24,0.000872,0.000543,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.000199,0.000276,0.00015,0.000122,9.75e-05,0.000135,8.099999999999999e-05,0.0001885,4.2e-05
25,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.000232,0.000276,0.000156,0.000127,9.75e-05,0.0001385,0.000165,0.0001885,6.1000000000000005e-05
26,0.000872,0.000436,4.75e-05,2e-06,0.00798,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.00039,0.000354,0.000554,0.000551,0.0211,0.0211,0.00033299999999999996,0.0002155,0.000276,0.00015,0.000122,0.000382,0.000135,0.000311,0.0001885,6.1000000000000005e-05
27,0.000872,0.000436,4.75e-05,2e-06,0.004350499999999999,0.0012085,0.0179,0.0408,-0.0419,0.0419,-0.0419,0.000254,0.000354,0.000554,0.000551,0.0211,0.0211,0.000354,0.000102,0.000276,0.000156,0.000127,9.75e-05,0.0001385,8.099999999999999e-05,0.0001885,6.1000000000000005e-05
