Indnum,Household heating < 70F,Household heating => 70F,Small kitchen appliance in the home,TV/computer use,Use of air conditioner,Use of heat pump,air travel - large plane,air travel - small  plane (<50 seats),bags of compost deposited (negative CF),bags of garbage disposed,bags of recycling deposited (negative CF),bath,car trips - 2+ people with multiple end points,car trips - driver and self,car trips- self only,hazardous or electric items disposed,large items disposed,shower - long (> 3 min),shower - short,trips using public ground transportation,use of  oven,use of clothes dryer,use of clothes washer,use of cooking range,use of dishwasher,use of self-clean feature of electric oven,wash-up
1,10.0,2.0,0.0,64.0,20.0,0.0,27.47,0.0,3.0,26.0,0.0,0.0,10.0,38.0,443.0,0.0,2.0,30.0,5.0,15.0,9.0,3.0,2.0,0.0,0.0,3.0,44.0
2,2.0,7.0,0.0,63.0,15.0,0.0,25.24,0.0,0.0,17.0,0.0,0.0,17.0,19.0,273.0,0.0,0.0,13.0,7.0,12.0,8.0,4.0,8.0,0.0,0.0,3.0,44.0
3,1.0,3.0,0.0,64.0,16.0,0.0,26.53,0.0,0.0,22.0,0.0,0.0,23.0,35.0,260.0,0.0,0.0,40.0,7.0,13.0,10.0,3.0,5.0,0.0,0.0,4.0,45.0
4,4.0,10.0,0.0,59.0,18.0,0.0,34.19,0.0,0.0,27.0,0.0,0.0,0.0,28.0,336.0,0.0,0.0,12.0,5.0,12.0,11.0,2.0,6.0,0.0,0.0,3.0,35.0
5,10.0,8.0,0.0,64.0,14.0,0.0,31.13,0.0,0.0,17.0,0.0,0.0,15.0,15.0,388.0,0.0,2.0,10.0,7.0,19.0,12.0,1.0,7.0,0.0,0.0,2.0,45.0
6,3.0,6.0,59.0,59.0,14.0,0.0,20.21,0.0,0.0,22.0,0.0,0.0,0.0,21.0,267.0,0.0,1.0,26.0,8.0,14.0,11.0,2.0,4.0,0.0,10.0,3.0,32.0
7,1.0,5.0,0.0,63.0,20.0,0.0,30.16,0.0,0.0,18.0,0.0,0.0,11.0,39.0,288.0,0.0,0.0,23.0,3.0,12.0,9.0,4.0,5.0,16.0,0.0,1.0,37.0
8,6.0,4.0,0.0,60.0,15.0,0.0,28.95,0.0,0.0,20.0,0.0,0.0,10.0,38.0,359.0,0.0,2.0,15.0,5.0,14.0,10.0,4.0,5.0,0.0,0.0,1.0,49.0
9,6.0,4.0,0.0,64.0,20.0,0.0,34.06,0.0,0.0,23.0,0.0,0.0,20.0,24.0,311.0,0.0,1.0,35.0,2.0,19.0,8.0,2.0,7.0,0.0,0.0,4.0,52.0
10,10.0,6.0,0.0,58.0,31.0,0.0,29.49,0.0,0.0,28.0,0.0,0.0,0.0,20.0,354.0,0.0,0.0,19.0,4.0,14.0,8.0,4.0,4.0,0.0,0.0,1.0,48.0
11,6.0,8.0,0.0,64.0,28.0,0.0,29.18,0.0,0.0,25.0,0.0,0.0,12.0,16.0,463.0,0.0,0.0,37.0,2.0,12.0,9.0,4.0,2.0,0.0,0.0,4.0,40.0
12,9.0,3.0,0.0,61.0,26.0,0.0,30.84,0.0,2.0,21.0,0.0,0.0,0.0,19.0,430.0,0.0,0.0,20.0,6.0,12.0,10.0,2.0,8.0,0.0,0.0,2.0,49.0
13,9.0,1.0,0.0,63.0,22.0,0.0,30.34,0.0,0.0,17.0,0.0,0.0,0.0,20.0,270.0,0.0,2.0,11.0,2.0,14.0,11.0,4.0,4.0,0.0,0.0,3.0,34.0
14,5.0,5.0,0.0,61.0,22.0,0.0,24.47,0.0,0.0,23.0,0.0,0.0,0.0,39.0,449.0,0.0,1.0,29.0,4.0,16.0,12.0,1.0,4.0,0.0,0.0,1.0,34.0
15,4.0,8.0,0.0,63.0,31.0,0.0,31.8,0.0,0.0,26.0,0.0,0.0,0.0,11.0,282.0,0.0,0.0,28.0,4.0,15.0,9.0,4.0,2.0,0.0,0.0,2.0,53.0
16,5.0,5.0,0.0,60.0,28.0,0.0,20.03,0.0,0.0,21.0,0.0,0.0,18.0,13.0,461.0,0.0,2.0,28.0,7.0,15.0,11.0,3.0,4.0,0.0,0.0,3.0,43.0
17,5.0,10.0,0.0,62.0,28.0,0.0,39.72,0.0,0.0,22.0,0.0,0.0,0.0,20.0,419.0,3.0,2.0,16.0,8.0,12.0,11.0,4.0,6.0,0.0,0.0,2.0,49.0
18,9.0,10.0,0.0,61.0,29.0,0.0,23.82,0.0,7.0,22.0,0.0,7.0,0.0,37.0,348.0,0.0,2.0,24.0,8.0,12.0,12.0,2.0,7.0,0.0,0.0,4.0,38.0
19,4.0,3.0,52.0,58.0,17.0,0.0,25.01,0.0,0.0,23.0,0.0,0.0,30.0,31.0,301.0,0.0,2.0,38.0,4.0,19.0,8.0,3.0,2.0,0.0,0.0,1.0,43.0
20,2.0,1.0,53.0,64.0,14.0,0.0,24.59,0.0,0.0,28.0,0.0,5.0,23.0,13.0,287.0,0.0,0.0,37.0,7.0,18.0,11.0,2.0,2.0,0.0,0.0,1.0,51.0
21,2.0,6.0,0.0,62.0,18.0,0.0,35.15,0.0,0.0,20.0,0.0,0.0,0.0,25.0,315.0,0.0,0.0,38.0,2.0,16.0,10.0,4.0,8.0,0.0,0.0,4.0,35.0
22,8.0,5.0,0.0,63.0,23.0,0.0,33.0,0.0,8.0,18.0,0.0,0.0,0.0,32.0,404.0,0.0,2.0,13.0,4.0,16.0,11.0,2.0,5.0,0.0,0.0,4.0,34.0
