Indnum,Household heating < 70F,Household heating => 70F,Small kitchen appliance in the home,TV/computer use,Use of air conditioner,Use of heat pump,air travel - large plane,air travel - small  plane (<50 seats),bags of compost deposited (negative CF),bags of garbage disposed,bags of recycling deposited (negative CF),bath,car trips - 2+ people with multiple end points,car trips - driver and self,car trips- self only,hazardous or electric items disposed,large items disposed,shower - long (> 3 min),shower - short,trips using public ground transportation,use of  oven,use of clothes dryer,use of clothes washer,use of cooking range,use of dishwasher,use of self-clean feature of electric oven,wash-up
1,85.0,88.0,,23.0,45.0,50.0,42.0,,6.0,41.0,,14.0,,27.0,44.0,,15.0,74.0,98.0,49.0,35.0,11.0,28.0,,20.0,15.0,27.0
2,61.0,77.0,,26.0,57.0,55.0,47.0,,,49.0,,15.0,,30.0,43.0,,14.0,74.0,85.0,43.0,37.0,13.0,35.0,,20.0,16.0,34.0
3,75.0,64.0,,27.0,52.0,42.0,42.0,,,49.0,,19.0,,19.0,60.0,,20.0,85.0,95.0,44.0,37.0,12.0,44.0,,25.0,19.0,27.0
4,73.0,93.0,,25.0,47.0,48.0,44.0,,,41.0,,20.0,,28.0,58.0,,17.0,84.0,90.0,42.0,33.0,14.0,41.0,,25.0,18.0,36.0
5,77.0,80.0,,29.0,53.0,43.0,46.0,,,48.0,,10.0,,27.0,50.0,,12.0,72.0,84.0,45.0,32.0,21.0,41.0,,20.0,16.0,28.0
6,75.0,63.0,,30.0,44.0,52.0,47.0,,,47.0,,18.0,,34.0,45.0,,17.0,80.0,97.0,51.0,33.0,20.0,31.0,,22.0,12.0,35.0
7,72.0,85.0,,29.0,46.0,44.0,45.0,,,41.0,,21.0,,22.0,57.0,,19.0,80.0,86.0,48.0,38.0,17.0,38.0,,24.0,17.0,44.0
8,71.0,79.0,,28.0,52.0,40.0,46.0,,,49.0,,10.0,,39.0,61.0,,17.0,82.0,87.0,44.0,36.0,12.0,29.0,,20.0,11.0,32.0
9,89.0,61.0,,27.0,50.0,55.0,44.0,,,43.0,,17.0,,27.0,44.0,,20.0,87.0,95.0,56.0,39.0,12.0,34.0,,22.0,19.0,32.0
10,93.0,67.0,,26.0,44.0,42.0,48.0,,,49.0,,21.0,,22.0,51.0,,16.0,90.0,91.0,53.0,36.0,13.0,33.0,,20.0,16.0,31.0
11,85.0,78.0,,30.0,49.0,55.0,49.0,,,41.0,,20.0,,40.0,48.0,,17.0,77.0,98.0,45.0,40.0,14.0,36.0,,19.0,21.0,31.0
12,72.0,84.0,,31.0,43.0,40.0,51.0,,4.0,43.0,,13.0,,20.0,50.0,,12.0,76.0,98.0,44.0,36.0,18.0,28.0,,23.0,15.0,33.0
13,73.0,80.0,,29.0,39.0,44.0,42.0,,,50.0,,15.0,,21.0,49.0,,20.0,81.0,86.0,43.0,34.0,13.0,47.0,,20.0,16.0,44.0
14,61.0,86.0,,30.0,39.0,47.0,49.0,,,48.0,,21.0,,27.0,60.0,,15.0,91.0,97.0,61.0,32.0,11.0,38.0,,24.0,19.0,38.0
15,73.0,87.0,,30.0,52.0,50.0,47.0,,,49.0,,12.0,,20.0,59.0,,15.0,72.0,84.0,44.0,31.0,19.0,46.0,,20.0,18.0,25.0
16,69.0,62.0,,30.0,41.0,49.0,51.0,,,51.0,,16.0,,40.0,49.0,,15.0,87.0,93.0,42.0,33.0,16.0,29.0,,20.0,12.0,34.0
17,76.0,76.0,,27.0,38.0,42.0,48.0,,,43.0,,18.0,,28.0,60.0,,14.0,87.0,89.0,52.0,41.0,15.0,31.0,,20.0,19.0,43.0
